Server start at port: 8888
Receive: Efrom client. 丢包率: 0.99975
Receive: Hello Server!from client. 丢包率: 0.9675
Receive: Hello Server!from client. 丢包率: 0.96725
Receive: Hello Server!from client. 丢包率: 0.967
Receive: Hello Server!from client. 丢包率: 0.96675
Receive: Hello Server!from client. 丢包率: 0.9665
Receive: Hello Server!from client. 丢包率: 0.96625
Receive: Hello Server!from client. 丢包率: 0.966
Receive: Hello Server!from client. 丢包率: 0.96575
Receive: Hello Server!from client. 丢包率: 0.9655
Receive: Hello Server!from client. 丢包率: 0.96525
Receive: Hello Server!from client. 丢包率: 0.965
Receive: Hello Server!from client. 丢包率: 0.96475
Receive: Hello Server!from client. 丢包率: 0.9645
Receive: Hello Server!from client. 丢包率: 0.96425
Receive: Hello Server!from client. 丢包率: 0.964
Receive: Hello Server!from client. 丢包率: 0.96375
Receive: Hello Server!from client. 丢包率: 0.9635
Receive: Hello Server!from client. 丢包率: 0.96325
Receive: Hello Server!from client. 丢包率: 0.963
Receive: Hello Server!from client. 丢包率: 0.96275
Receive: Hello Server!from client. 丢包率: 0.9625
Receive: Hello Server!from client. 丢包率: 0.96225
Receive: Hello Server!from client. 丢包率: 0.962
Receive: Hello Server!from client. 丢包率: 0.96175
Receive: Hello Server!from client. 丢包率: 0.9615
Receive: Hello Server!from client. 丢包率: 0.96125
Receive: Hello Server!from client. 丢包率: 0.961
Receive: Hello Server!from client. 丢包率: 0.96075
Receive: Hello Server!from client. 丢包率: 0.9605
Receive: Hello Server!from client. 丢包率: 0.96025
Receive: Hello Server!from client. 丢包率: 0.96
Receive: Hello Server!from client. 丢包率: 0.95975
Receive: Efrom client. 丢包率: 0.9595
Receive: Hello Server!from client. 丢包率: 0.95925
Receive: Hello Server!from client. 丢包率: 0.959
Receive: Hello Server!from client. 丢包率: 0.95875
Receive: Hello Server!from client. 丢包率: 0.9585
Receive: Hello Server!from client. 丢包率: 0.95825
Receive: Hello Server!from client. 丢包率: 0.958
Receive: Hello Server!from client. 丢包率: 0.95775
Receive: Hello Server!from client. 丢包率: 0.9575
Receive: Hello Server!from client. 丢包率: 0.95725
Receive: Hello Server!from client. 丢包率: 0.957
Receive: Hello Server!from client. 丢包率: 0.95675
Receive: Hello Server!from client. 丢包率: 0.9565
Receive: Hello Server!from client. 丢包率: 0.95625
Receive: Hello Server!from client. 丢包率: 0.956
Receive: Hello Server!from client. 丢包率: 0.95575
Receive: Hello Server!from client. 丢包率: 0.9555
Receive: Hello Server!from client. 丢包率: 0.95525
Receive: Hello Server!from client. 丢包率: 0.955
Receive: Hello Server!from client. 丢包率: 0.95475
Receive: Hello Server!from client. 丢包率: 0.9545
Receive: Hello Server!from client. 丢包率: 0.95425
Receive: Hello Server!from client. 丢包率: 0.954
Receive: Hello Server!from client. 丢包率: 0.95375
Receive: Hello Server!from client. 丢包率: 0.9535
Receive: Hello Server!from client. 丢包率: 0.95325
Receive: Hello Server!from client. 丢包率: 0.953
Receive: Hello Server!from client. 丢包率: 0.95275
Receive: Hello Server!from client. 丢包率: 0.9525
Receive: Hello Server!from client. 丢包率: 0.95225
Receive: Hello Server!from client. 丢包率: 0.952
Receive: Hello Server!from client. 丢包率: 0.95175
Receive: Hello Server!from client. 丢包率: 0.9515
Receive: Hello Server!from client. 丢包率: 0.95125
Receive: Hello Server!from client. 丢包率: 0.951
Receive: Hello Server!from client. 丢包率: 0.95075
Receive: Hello Server!from client. 丢包率: 0.9505
Receive: Hello Server!from client. 丢包率: 0.95025
Receive: Hello Server!from client. 丢包率: 0.95
Receive: Hello Server!from client. 丢包率: 0.94975
Receive: Hello Server!from client. 丢包率: 0.9495
Receive: Hello Server!from client. 丢包率: 0.94925
Receive: Hello Server!from client. 丢包率: 0.949
Receive: Hello Server!from client. 丢包率: 0.94875
Receive: Hello Server!from client. 丢包率: 0.9485
Receive: Hello Server!from client. 丢包率: 0.94825
Receive: Hello Server!from client. 丢包率: 0.948
Receive: Hello Server!from client. 丢包率: 0.94775
